date,MOP1,MOP2,method,folder_name,full_path,dem_path
20191210,568,636,VMZ2000_Truck,20191210_00568_00636_1315_NoWaves_TorreyDelmar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191210_00568_00636_1315_NoWaves_TorreyDelmar/Beach_And_Backshore/20191210_00568_00636_1315_NoWaves_TorreyDelmar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191210_00568_00636_1315_NoWaves_TorreyDelmar/Beach_And_Backshore/20191210_00568_00636_1315_NoWaves_TorreyDelmar_beach_cliff_ground.tif
20191211,518,638,VMZ2000_Truck,20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar/Beach_And_Backshore/20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar/Beach_And_Backshore/20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar_beach_cliff_ground.tif
20191211,568,636,VMZ2000_Truck,20191211_00568_00636_0015_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191211_00568_00636_0015_NoWaves_TorreyDelMar/Beach_And_Backshore/20191211_00568_00636_0015_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191211_00568_00636_0015_NoWaves_TorreyDelMar/Beach_And_Backshore/20191211_00568_00636_0015_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191212,637,708,VMZ2000_Truck,20191212_00637_00708_NoWaves_solana_cardiff_swamis,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191212_00637_00708_NoWaves_solana_cardiff_swamis/Beach_And_Backshore/20191212_00637_00708_NoWaves_solana_cardiff_swamis_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191212_00637_00708_NoWaves_solana_cardiff_swamis/Beach_And_Backshore/20191212_00637_00708_NoWaves_solana_cardiff_swamis_beach_cliff_ground.tif
20191213,568,636,VMZ2000_Truck,20191213_00568_00636_1448_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191213_00568_00636_1448_NoWaves_TorreyDelMar/Beach_And_Backshore/20191213_00568_00636_1448_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191213_00568_00636_1448_NoWaves_TorreyDelMar/Beach_And_Backshore/20191213_00568_00636_1448_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191213,568,636,VMZ2000_Truck,20191213_00568_00636_0115_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191213_00568_00636_0115_NoWaves_TorreyDelMar/Beach_And_Backshore/20191213_00568_00636_0115_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191213_00568_00636_0115_NoWaves_TorreyDelMar/Beach_And_Backshore/20191213_00568_00636_0115_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191214,590,636,VMZ2000_Truck,20191214_00590_00636_1555_NoWaves_DelMar_FirstHalf,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00590_00636_1555_NoWaves_DelMar_FirstHalf/Beach_And_Backshore/20191214_00590_00636_1555_NoWaves_DelMar_FirstHalf_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00590_00636_1555_NoWaves_DelMar_FirstHalf/Beach_And_Backshore/20191214_00590_00636_1555_NoWaves_DelMar_FirstHalf_beach_cliff_ground.tif
20191214,568,636,VMZ2000_Truck,20191214_00568_00636_0152_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00568_00636_0152_NoWaves_TorreyDelMar/Beach_And_Backshore/20191214_00568_00636_0152_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00568_00636_0152_NoWaves_TorreyDelMar/Beach_And_Backshore/20191214_00568_00636_0152_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191214,568,590,VMZ2000_Truck,20191214_00568_00590_1740_NoWaves_Torrey_SecondHalfOfSurvey,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00568_00590_1740_NoWaves_Torrey_SecondHalfOfSurvey/Beach_And_Backshore/20191214_00568_00590_1740_NoWaves_Torrey_SecondHalfOfSurvey_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191214_00568_00590_1740_NoWaves_Torrey_SecondHalfOfSurvey/Beach_And_Backshore/20191214_00568_00590_1740_NoWaves_Torrey_SecondHalfOfSurvey_beach_cliff_ground.tif
20191215,568,636,VMZ2000_Truck,20191215_00568_00636_1626_NoWaves_TorreyDelMarIntensive,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191215_00568_00636_1626_NoWaves_TorreyDelMarIntensive/Beach_And_Backshore/20191215_00568_00636_1626_NoWaves_TorreyDelMarIntensive_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191215_00568_00636_1626_NoWaves_TorreyDelMarIntensive/Beach_And_Backshore/20191215_00568_00636_1626_NoWaves_TorreyDelMarIntensive_beach_cliff_ground.tif
